"","from","to","weight"
"968","283","46",1
"969","147","132",1
"970","235","1153",2
"971","235","85",4
"972","235","89",9
"973","10","812",1
"974","25","515",1
"975","244","404",1
"976","348","13",1
"977","349","10",1
"978","201","52",1
"979","91","141",1
"980","91","146",1
"981","681","668",1
"982","802","305",1
"983","730","732",1
"984","730","731",1
"985","1027","1028",1
"986","511","90",1
"987","102","445",1
"988","413","41",1
"989","1117","1118",1
"990","637","90",1
"991","255","42",1
"992","255","41",1
"993","73","798",1
"994","235","305",7
"995","85","322",1
"996","235","303",1
"997","42","109",1
"998","802","29",1
"999","596","9",1
"1000","197","198",1
"1001","90","30",3
"1002","97","235",1
"1003","91","30",1
"1004","21","10",1
"1005","355","9",1
"1006","1054","1055",1
"1007","514","515",1
"1008","52","1154",1
"1009","115","9",1
"1010","182","13",1
"1011","334","335",1
"1012","10","395",1
"1013","12","115",1
"1014","10","50",1
"1015","5","630",1
"1016","85","159",1
"1017","1070","1035",1
"1018","76","254",1
"1019","799","73",1
"1020","2","376",1
"1021","787","137",1
"1022","28","13",1
"1023","47","658",4
"1024","235","1189",1
"1025","47","657",1
"1026","705","305",1
"1027","530","12",1
"1028","487","305",1
"1029","10","575",3
"1030","10","574",1
"1031","90","127",1
"1032","479","90",1
"1033","85","86",3
"1034","516","27",1
"1035","194","195",1
"1036","546","525",1
"1037","348","9",1
"1038","425","90",1
"1039","1147","1182",2
"1040","1147","1183",1
"1041","1147","1184",1
"1042","1147","1185",1
"1043","560","515",1
"1044","692","693",1
"1045","235","1161",1
"1046","10","963",1
"1047","626","6",1
"1048","317","762",1
"1049","235","97",2
"1050","235","95",3
"1051","235","91",1
"1052","235","90",26
"1053","91","312",1
"1054","91","313",1
"1055","91","317",3
"1056","453","90",1
"1057","1010","1011",1
"1058","91","170",2
"1059","330","331",1
"1060","135","13",1
"1061","91","774",1
"1062","369","13",1
"1063","2","68",1
"1064","909","50",1
"1065","441","132",1
"1066","1039","200",2
"1067","54","46",1
"1068","181","2",2
"1069","235","570",2
"1070","154","9",1
"1071","235","575",3
